id,listing_url,name,host_id,host_name,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,amenities,price
32414,https://www.airbnb.com/rooms/32414,"Cozy, Sunny and Private Space",140251,Lisa,f,Bernal Heights,2,1,1,"""Heating"",""Hot water"",""Baby bath"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Pack \u2019n Play/travel crib"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Hair dryer"",""Long term stays allowed"",""Host greets you"",""Kitchen"",""Washer"",""Cable TV"",""Oven"",""Bed linens"",""Free street parking"",""Ethernet connection""",$150.00 
33578,https://www.airbnb.com/rooms/33578,Potrero Hill Garden Lookout,145258,Kepa,t,Potrero Hill,2,1,1,"""Heating"",""Hot water"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Pocket wifi"",""Luggage dropoff allowed"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Shampoo"",""Garden or backyard"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Washer"",""Cable TV"",""Bed linens""",$240.00 
39174,https://www.airbnb.com/rooms/39174,Bette's New Place,127367,Annette,t,Noe Valley,2,1,1,"""Heating"",""Hot water"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Indoor fireplace"",""Luggage dropoff allowed"",""Lockbox"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Cable TV"",""Bed linens"",""Free street parking""",$107.00 
40092,https://www.airbnb.com/rooms/40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,t,Mission,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Pack \u2019n Play/travel crib"",""Luggage dropoff allowed"",""BBQ grill"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Refrigerator"",""Wifi"",""Bathtub"",""Cooking basics"",""Garden or backyard"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Keypad"",""Washer"",""Cable TV"",""Oven""",$107.00 
40138,https://www.airbnb.com/rooms/40138,Peaceful room in yoga teacher's colorful apt.,172306,Ay,t,Presidio Heights,1,1,1,"""Hot water"",""Stove"",""Iron"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""Garden or backyard"",""Dishes and silverware"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Oven"",""Bed linens""",$67.00 
41055,https://www.airbnb.com/rooms/41055,Cozy Castro Cottage with Cat,178043,Chas,t,Castro/Upper Market,3,1,1,"""Smoke alarm"",""Heating"",""Kitchen"",""First aid kit"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Washer"",""Iron"",""Shampoo"",""Dryer"",""TV"",""Garden or backyard"",""Hangers"",""Carbon monoxide alarm"",""Hair dryer"",""Essentials"",""Laptop-friendly workspace""",$140.00 
41172,https://www.airbnb.com/rooms/41172,Sue's Place,53314,Sue,t,Bernal Heights,2,2,1,"""Heating"",""Hot water"",""Children\u2019s books and toys"",""Iron"",""Carbon monoxide alarm"",""Pack \u2019n Play/travel crib"",""Pool"",""Luggage dropoff allowed"",""Private entrance"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Hot tub"",""Fire extinguisher"",""Wifi"",""Lock on bedroom door"",""Shampoo"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""High chair"",""Breakfast"",""Free street parking""",$130.00 
41399,https://www.airbnb.com/rooms/41399,"Heart of San Francisco, the Mission",180530,Anton,f,Mission,4,1,2,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Indoor fireplace"",""Dishwasher"",""Lockbox"",""BBQ grill"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Refrigerator"",""Free parking on premises"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Garden or backyard"",""Patio or balcony"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Washer"",""Oven""",$155.00 
41609,https://www.airbnb.com/rooms/41609,Spacious Quiet SF Downtown Retreat,54299,Peter,t,Nob Hill,3,1,1,"""Gym"",""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Paid parking on premises"",""Elevator"",""Dishwasher"",""Pool"",""Building staff"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Bathtub"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Single level home"",""Long term stays allowed"",""Kitchen"",""Washer"",""Cable TV"",""Oven"",""Bed linens""",$129.00 
42577,https://www.airbnb.com/rooms/42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,t,Potrero Hill,3,1,2,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Luggage dropoff allowed"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Garden or backyard"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Keypad"",""Washer"",""Cable TV"",""Oven"",""Bed linens"",""Free street parking""",$150.00 
44032,https://www.airbnb.com/rooms/44032,The Mission-Great Location,98733,David + Tina,t,Mission,2,1,1,"""Heating"",""Hot water"",""Cleaning before checkout"",""Stove"",""Carbon monoxide alarm"",""Coffee maker"",""Paid parking off premises"",""Luggage dropoff allowed"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Keypad"",""Bed linens"",""Free street parking""",$100.00 
47486,https://www.airbnb.com/rooms/47486,Easy parking & nearby public transp. Beautiful,215133,Richard,t,Ocean View,2,1,1,"""Heating"",""Stove"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Indoor fireplace"",""Microwave"",""Hangers"",""Essentials"",""First aid kit"",""Smoke alarm"",""Refrigerator"",""Free parking on premises"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""TV"",""Dishes and silverware"",""Hair dryer"",""Kitchen"",""Keypad"",""Cable TV"",""Free street parking""",$78.00 
47682,https://www.airbnb.com/rooms/47682,One-bedroom apt.  Lafayette Park,216682,Jay,t,Pacific Heights,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Dishwasher"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Refrigerator"",""Wifi"",""Cooking basics"",""Shampoo"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Long term stays allowed"",""Host greets you"",""Kitchen"",""Oven""",$104.00 
51557,https://www.airbnb.com/rooms/51557,Centrally Located Victorian Apartment,237200,Len,f,Western Addition,2,1,1,"""Heating"",""Hot water"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Indoor fireplace"",""Luggage dropoff allowed"",""Lockbox"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Bathtub"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Free street parking""",$110.00 
51773,https://www.airbnb.com/rooms/51773,Prime Location - Small Cozy Room,216682,Jay,t,Pacific Heights,1,0,1,"""Host greets you"",""Refrigerator"",""Hot water"",""Kitchen"",""Dishwasher"",""Fire extinguisher"",""Wifi"",""Stove"",""Lock on bedroom door"",""Cooking basics"",""Microwave"",""Coffee maker"",""Dishes and silverware"",""Oven"",""Carbon monoxide alarm"",""Hair dryer"",""Essentials"",""Smoke alarm""",$54.00 
53280,https://www.airbnb.com/rooms/53280,Large & sunny room with bath + yard,126263,Cecilia,t,Bernal Heights,2,1,1,"""Heating"",""Hot water"",""Iron"",""Dryer"",""Coffee maker"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Free parking on premises"",""Fire extinguisher"",""Wifi"",""Shampoo"",""Garden or backyard"",""Dishes and silverware"",""Hair dryer"",""Washer"",""Bed linens"",""Free street parking""",$95.00 
53934,https://www.airbnb.com/rooms/53934,"Urban Rainbow: Artsy, Downtown Condo",252376,Megan,t,Downtown/Civic Center,4,1,2,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Paid parking off premises"",""Dishwasher"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Long term stays allowed"",""Host greets you"",""Kitchen"",""Washer"",""Oven"",""Bed linens""",$149.00 
54518,https://www.airbnb.com/rooms/54518,Financial District Corporate Condo,255971,Kathy,f,Financial District,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Paid parking off premises"",""Elevator"",""Dishwasher"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""TV"",""Dishes and silverware"",""Room-darkening shades"",""Hair dryer"",""Single level home"",""Long term stays allowed"",""Host greets you"",""Baking sheet"",""Kitchen"",""Washer"",""Oven"",""Bed linens""",$185.00 
54634,https://www.airbnb.com/rooms/54634,Studio Apartment Lafayette Park,216682,Jay,t,Pacific Heights,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Lockbox"",""Microwave"",""Hangers"",""Essentials"",""Smoke alarm"",""Laptop-friendly workspace"",""Refrigerator"",""Wifi"",""Cooking basics"",""Dishes and silverware"",""Hair dryer"",""Kitchen"",""Washer"",""Oven""",$79.00 
55632,https://www.airbnb.com/rooms/55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,t,Outer Richmond,4,1,1,"""Heating"",""Hot water"",""Iron"",""Dryer"",""Carbon monoxide alarm"",""Pack \u2019n Play/travel crib"",""Indoor fireplace"",""Luggage dropoff allowed"",""Lockbox"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""First aid kit"",""Smoke alarm"",""Fire extinguisher"",""Wifi"",""Bathtub"",""Shampoo"",""TV"",""Room-darkening shades"",""Game console"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""High chair"",""Babysitter recommendations"",""Washer"",""Fireplace guards"",""Cable TV"",""Free street parking""",$112.00 
